frame_number,track_id,cx,cy,event
189,0,212,239,NEW
190,0,224,239,UPDATE
191,0,233,239,UPDATE
192,0,253,239,UPDATE
193,0,278,239,UPDATE
194,0,292,239,UPDATE
195,0,297,239,UPDATE
196,0,303,239,UPDATE
197,0,301,238,UPDATE
198,0,299,237,UPDATE
199,0,292,247,UPDATE
199,COUNT,,,IN increment to 1
200,0,289,254,UPDATE
201,0,287,259,UPDATE
202,0,286,261,UPDATE
203,0,289,267,UPDATE
204,0,293,271,UPDATE
205,0,302,285,UPDATE
206,0,306,290,UPDATE
207,0,309,293,UPDATE
208,0,312,297,UPDATE
209,0,315,296,UPDATE
210,0,318,296,UPDATE
211,0,318,296,UPDATE
212,0,318,298,UPDATE
213,0,318,300,UPDATE
214,0,316,300,UPDATE
215,0,310,304,UPDATE
216,0,307,307,UPDATE
217,0,304,309,UPDATE
218,0,300,313,UPDATE
219,0,298,314,UPDATE
220,0,297,315,UPDATE
221,0,298,316,UPDATE
222,0,300,317,UPDATE
223,0,302,316,UPDATE
224,0,306,319,UPDATE
225,0,307,321,UPDATE
226,0,308,322,UPDATE
227,0,311,322,UPDATE
228,0,312,322,UPDATE
229,0,312,319,UPDATE
230,0,312,317,UPDATE
231,0,311,316,UPDATE
232,0,310,316,UPDATE
233,0,307,318,UPDATE
234,0,305,319,UPDATE
235,0,304,321,UPDATE
236,0,302,322,UPDATE
237,0,300,321,UPDATE
238,0,300,321,UPDATE
239,0,301,320,UPDATE
240,0,302,319,UPDATE
241,0,303,319,UPDATE
242,0,307,321,UPDATE
243,0,309,322,UPDATE
244,0,310,324,UPDATE
245,0,313,323,UPDATE
246,0,315,323,UPDATE
247,0,316,321,UPDATE
248,0,316,321,UPDATE
249,0,313,321,UPDATE
250,0,312,322,UPDATE
251,0,312,322,UPDATE
252,0,311,324,UPDATE
253,0,311,324,UPDATE
254,0,310,325,UPDATE
255,0,311,325,UPDATE
256,0,311,324,UPDATE
257,0,312,324,UPDATE
258,0,315,325,UPDATE
259,0,317,325,UPDATE
260,0,317,325,UPDATE
261,0,318,326,UPDATE
262,0,318,326,UPDATE
263,0,318,326,UPDATE
264,0,321,325,UPDATE
265,0,321,324,UPDATE
266,0,321,324,UPDATE
267,0,321,325,UPDATE
268,0,320,325,UPDATE
269,0,320,325,UPDATE
270,0,319,326,UPDATE
271,0,318,327,UPDATE
272,0,316,327,UPDATE
273,0,316,326,UPDATE
274,0,316,326,UPDATE
275,0,316,327,UPDATE
276,0,317,327,UPDATE
277,0,317,327,UPDATE
278,0,317,330,UPDATE
279,0,317,329,UPDATE
280,0,318,327,UPDATE
281,0,319,328,UPDATE
282,0,319,328,UPDATE
283,0,320,328,UPDATE
284,0,319,328,UPDATE
285,0,319,327,UPDATE
286,0,320,328,UPDATE
287,0,319,328,UPDATE
288,0,318,328,UPDATE
289,0,317,329,UPDATE
290,0,316,329,UPDATE
291,0,315,330,UPDATE
292,0,313,330,UPDATE
293,0,312,329,UPDATE
294,0,310,330,UPDATE
295,0,310,330,UPDATE
296,0,309,329,UPDATE
297,0,308,330,UPDATE
298,0,309,330,UPDATE
299,0,309,330,UPDATE
300,0,309,330,UPDATE
301,0,308,330,UPDATE
302,0,308,331,UPDATE
303,0,310,331,UPDATE
304,0,310,331,UPDATE
305,0,311,330,UPDATE
306,0,312,330,UPDATE
307,0,311,331,UPDATE
308,0,311,331,UPDATE
309,0,311,331,UPDATE
310,0,308,331,UPDATE
311,0,308,331,UPDATE
312,0,308,332,UPDATE
313,0,307,332,UPDATE
314,0,307,332,UPDATE
315,0,307,332,UPDATE
316,0,306,332,UPDATE
317,0,306,331,UPDATE
318,0,305,330,UPDATE
319,0,304,329,UPDATE
320,0,304,330,UPDATE
321,0,304,331,UPDATE
322,0,306,331,UPDATE
323,0,307,331,UPDATE
324,0,307,331,UPDATE
325,0,308,331,UPDATE
326,0,309,332,UPDATE
327,0,309,331,UPDATE
328,0,311,331,UPDATE
329,0,313,331,UPDATE
330,0,313,330,UPDATE
331,0,314,331,UPDATE
332,0,315,331,UPDATE
333,0,315,331,UPDATE
334,0,316,330,UPDATE
335,0,316,331,UPDATE
336,0,316,331,UPDATE
337,0,315,332,UPDATE
338,0,315,332,UPDATE
339,0,315,332,UPDATE
340,0,314,332,UPDATE
341,0,315,332,UPDATE
342,0,314,332,UPDATE
343,0,314,332,UPDATE
344,0,313,333,UPDATE
345,0,313,333,UPDATE
346,0,312,332,UPDATE
347,0,312,332,UPDATE
348,0,311,331,UPDATE
349,0,311,330,UPDATE
350,0,310,330,UPDATE
351,0,309,329,UPDATE
352,0,309,329,UPDATE
353,0,309,329,UPDATE
354,0,310,328,UPDATE
355,0,311,329,UPDATE
356,0,312,330,UPDATE
357,0,313,330,UPDATE
358,0,314,330,UPDATE
359,0,316,329,UPDATE
360,0,317,329,UPDATE
361,0,318,328,UPDATE
362,0,320,327,UPDATE
363,0,320,327,UPDATE
364,0,319,328,UPDATE
365,0,319,328,UPDATE
366,0,318,328,UPDATE
367,0,317,328,UPDATE
368,0,316,327,UPDATE
369,0,315,327,UPDATE
370,0,314,327,UPDATE
371,0,312,326,UPDATE
372,0,312,326,UPDATE
373,0,309,325,UPDATE
374,0,309,325,UPDATE
375,0,309,325,UPDATE
376,0,308,325,UPDATE
377,0,309,326,UPDATE
378,0,311,326,UPDATE
379,0,312,326,UPDATE
380,0,314,326,UPDATE
381,0,315,326,UPDATE
382,0,315,326,UPDATE
383,0,316,324,UPDATE
384,0,316,324,UPDATE
385,0,315,325,UPDATE
386,0,315,325,UPDATE
387,0,315,327,UPDATE
388,0,314,327,UPDATE
389,0,313,326,UPDATE
390,0,311,323,UPDATE
391,0,309,322,UPDATE
392,0,309,322,UPDATE
393,0,309,321,UPDATE
394,0,309,322,UPDATE
395,0,309,323,UPDATE
396,0,309,324,UPDATE
397,0,309,323,UPDATE
398,0,310,323,UPDATE
399,0,311,323,UPDATE
400,0,310,322,UPDATE
401,0,309,321,UPDATE
402,0,307,322,UPDATE
403,0,305,322,UPDATE
404,0,304,323,UPDATE
405,0,303,323,UPDATE
406,0,302,323,UPDATE
407,0,300,323,UPDATE
408,0,298,321,UPDATE
409,0,295,320,UPDATE
410,0,294,319,UPDATE
411,0,293,320,UPDATE
412,0,293,319,UPDATE
413,0,293,319,UPDATE
414,0,294,321,UPDATE
415,0,295,322,UPDATE
416,0,295,322,UPDATE
417,0,296,321,UPDATE
418,0,296,318,UPDATE
419,0,295,317,UPDATE
420,0,294,315,UPDATE
421,0,291,317,UPDATE
422,0,290,318,UPDATE
423,0,288,320,UPDATE
424,0,286,321,UPDATE
425,0,284,321,UPDATE
426,0,279,317,UPDATE
427,0,275,315,UPDATE
428,0,273,314,UPDATE
429,0,269,312,UPDATE
430,0,268,311,UPDATE
431,0,268,311,UPDATE
432,0,270,309,UPDATE
433,0,272,307,UPDATE
434,0,273,306,UPDATE
435,0,275,304,UPDATE
436,0,277,302,UPDATE
437,0,279,301,UPDATE
438,0,281,298,UPDATE
439,0,282,294,UPDATE
440,0,281,294,UPDATE
441,0,280,292,UPDATE
442,0,279,291,UPDATE
443,0,278,290,UPDATE
444,0,274,284,UPDATE
445,0,270,279,UPDATE
446,0,268,278,UPDATE
447,0,262,273,UPDATE
448,0,259,270,UPDATE
449,0,257,268,UPDATE
450,0,259,265,UPDATE
451,0,260,263,UPDATE
452,0,261,262,UPDATE
453,0,263,257,UPDATE
454,0,264,253,UPDATE
455,0,266,250,UPDATE
456,0,270,243,UPDATE
457,0,273,240,UPDATE
458,0,276,238,UPDATE
459,0,281,238,UPDATE
460,0,285,238,UPDATE
461,0,287,238,UPDATE
462,0,283,238,UPDATE
463,0,279,238,UPDATE
464,0,274,238,UPDATE
465,0,254,238,UPDATE
466,0,247,238,UPDATE
467,0,242,238,UPDATE
468,0,235,239,UPDATE
469,0,218,238,UPDATE
470,0,211,239,UPDATE
471,0,222,238,UPDATE
472,0,223,238,UPDATE
473,0,232,239,UPDATE
474,0,241,239,UPDATE
475,0,248,239,UPDATE
476,0,251,239,UPDATE
477,0,251,239,UPDATE
478,0,248,239,UPDATE
479,0,251,239,UPDATE
480,0,251,239,UPDATE
481,0,256,239,UPDATE
482,0,256,239,UPDATE
483,0,244,239,UPDATE
484,0,240,239,UPDATE
485,0,239,239,UPDATE
486,0,223,239,UPDATE
487,0,215,239,UPDATE
488,0,213,239,UPDATE
489,0,209,239,UPDATE
490,0,208,238,UPDATE
491,0,207,238,UPDATE
492,0,220,238,UPDATE
493,0,223,238,UPDATE
494,0,224,238,UPDATE
495,0,226,238,UPDATE
496,0,226,238,UPDATE
497,0,226,238,UPDATE
498,0,225,238,UPDATE
499,0,225,238,UPDATE
500,0,225,238,UPDATE
501,0,224,238,UPDATE
502,0,224,238,UPDATE
503,0,224,238,UPDATE
504,0,223,238,UPDATE
505,0,223,237,UPDATE
506,0,223,237,UPDATE
507,0,223,237,UPDATE
508,0,222,237,UPDATE
509,0,222,237,UPDATE
510,0,222,237,UPDATE
566,1,504,239,NEW
567,1,503,239,UPDATE
568,1,502,239,UPDATE
569,1,500,240,UPDATE
569,COUNT,,,IN increment to 2
570,1,499,240,UPDATE
571,1,498,240,UPDATE
572,1,498,242,UPDATE
573,1,498,242,UPDATE
574,1,499,243,UPDATE
575,1,499,244,UPDATE
576,1,499,244,UPDATE
577,1,499,243,UPDATE
578,1,499,243,UPDATE
579,1,500,243,UPDATE
580,1,500,242,UPDATE
581,1,502,243,UPDATE
582,1,501,243,UPDATE
583,1,501,242,UPDATE
584,1,501,243,UPDATE
585,1,501,242,UPDATE
586,1,502,243,UPDATE
587,1,502,242,UPDATE
588,1,502,241,UPDATE
589,1,503,243,UPDATE
590,1,503,242,UPDATE
591,1,502,242,UPDATE
592,1,503,240,UPDATE
593,1,504,242,UPDATE
594,1,504,242,UPDATE
595,1,504,241,UPDATE
596,1,504,240,UPDATE
597,1,505,239,UPDATE
598,1,505,239,UPDATE
599,1,505,238,UPDATE
600,1,505,240,UPDATE
600,COUNT,,,IN increment to 3
601,1,507,240,UPDATE
602,1,507,240,UPDATE
603,1,508,240,UPDATE
604,1,510,240,UPDATE
605,1,507,241,UPDATE
606,1,506,241,UPDATE
607,1,506,241,UPDATE
608,1,506,242,UPDATE
609,1,506,242,UPDATE
610,1,506,241,UPDATE
611,1,505,241,UPDATE
612,1,507,240,UPDATE
613,1,506,240,UPDATE
614,1,506,241,UPDATE
615,1,506,241,UPDATE
616,1,507,242,UPDATE
617,1,507,245,UPDATE
618,1,506,246,UPDATE
619,1,506,246,UPDATE
620,1,507,245,UPDATE
621,1,506,245,UPDATE
622,1,507,244,UPDATE
623,1,506,244,UPDATE
624,1,506,244,UPDATE
625,1,506,243,UPDATE
626,1,506,243,UPDATE
627,1,506,243,UPDATE
628,1,507,243,UPDATE
629,1,507,243,UPDATE
630,1,507,242,UPDATE
631,1,507,242,UPDATE
632,1,507,243,UPDATE
633,1,506,243,UPDATE
634,1,505,244,UPDATE
635,1,504,243,UPDATE
636,1,505,242,UPDATE
637,1,502,241,UPDATE
638,1,502,241,UPDATE
639,1,500,241,UPDATE
640,1,499,241,UPDATE
641,1,501,239,UPDATE
642,1,503,239,UPDATE
643,1,500,240,UPDATE
643,COUNT,,,IN increment to 4
644,1,504,240,UPDATE
645,1,502,239,UPDATE
646,1,504,239,UPDATE
647,1,504,239,UPDATE
648,1,499,239,UPDATE
649,1,497,240,UPDATE
649,COUNT,,,IN increment to 5
650,1,502,239,UPDATE
651,1,498,239,UPDATE
652,1,500,239,UPDATE
653,1,501,239,UPDATE
654,1,498,239,UPDATE
655,1,497,239,UPDATE
656,1,495,239,UPDATE
657,1,494,239,UPDATE
658,1,496,241,UPDATE
658,COUNT,,,IN increment to 6
659,1,497,241,UPDATE
660,1,503,240,UPDATE
661,1,505,241,UPDATE
662,1,501,241,UPDATE
663,1,506,242,UPDATE
664,1,504,241,UPDATE
665,1,498,241,UPDATE
666,1,502,242,UPDATE
667,1,503,242,UPDATE
668,1,504,243,UPDATE
669,1,501,244,UPDATE
670,1,504,244,UPDATE
671,1,498,245,UPDATE
672,1,497,246,UPDATE
673,1,501,245,UPDATE
674,1,502,245,UPDATE
675,1,503,246,UPDATE
676,1,503,248,UPDATE
677,1,505,249,UPDATE
678,1,505,249,UPDATE
679,1,505,250,UPDATE
680,1,506,251,UPDATE
681,1,506,251,UPDATE
682,1,506,251,UPDATE
683,1,506,251,UPDATE
684,1,506,250,UPDATE
685,1,506,250,UPDATE
686,1,505,250,UPDATE
687,1,505,250,UPDATE
688,1,505,249,UPDATE
689,1,505,248,UPDATE
690,1,504,246,UPDATE
691,1,504,245,UPDATE
692,1,503,246,UPDATE
693,1,504,245,UPDATE
694,1,505,245,UPDATE
695,1,502,242,UPDATE
696,1,502,242,UPDATE
697,1,502,240,UPDATE
698,1,502,240,UPDATE
699,1,502,239,UPDATE
700,1,504,239,UPDATE
701,1,506,239,UPDATE
702,1,507,239,UPDATE
703,1,510,239,UPDATE
704,1,514,238,UPDATE
705,1,517,238,UPDATE
706,1,518,238,UPDATE
707,1,517,238,UPDATE
708,1,516,239,UPDATE
709,1,511,239,UPDATE
710,1,507,239,UPDATE
711,1,503,238,UPDATE
712,1,501,238,UPDATE
713,1,499,241,UPDATE
713,COUNT,,,IN increment to 7
714,1,497,242,UPDATE
715,1,497,245,UPDATE
716,1,497,246,UPDATE
717,1,496,247,UPDATE
718,1,495,247,UPDATE
719,1,494,247,UPDATE
720,1,490,249,UPDATE
721,1,486,250,UPDATE
722,1,485,253,UPDATE
723,1,484,258,UPDATE
724,1,486,258,UPDATE
725,1,487,258,UPDATE
726,1,487,259,UPDATE
727,1,488,260,UPDATE
728,1,488,259,UPDATE
729,1,488,259,UPDATE
730,1,489,259,UPDATE
731,1,488,260,UPDATE
732,1,489,258,UPDATE
733,1,489,257,UPDATE
734,1,489,256,UPDATE
735,1,488,257,UPDATE
736,1,489,259,UPDATE
737,1,488,259,UPDATE
738,1,487,261,UPDATE
739,1,487,260,UPDATE
740,1,487,261,UPDATE
741,1,488,262,UPDATE
742,1,488,260,UPDATE
743,1,487,257,UPDATE
744,1,488,258,UPDATE
745,1,489,259,UPDATE
746,1,489,258,UPDATE
747,1,488,258,UPDATE
748,1,489,256,UPDATE
749,1,489,256,UPDATE
750,1,490,256,UPDATE
751,1,490,256,UPDATE
752,1,490,255,UPDATE
753,1,490,256,UPDATE
754,1,488,256,UPDATE
755,1,490,256,UPDATE
756,1,490,255,UPDATE
757,1,491,256,UPDATE
758,1,491,254,UPDATE
759,1,490,255,UPDATE
760,1,490,254,UPDATE
761,1,490,252,UPDATE
762,1,490,252,UPDATE
763,1,490,252,UPDATE
764,1,490,251,UPDATE
765,1,489,253,UPDATE
766,1,490,252,UPDATE
767,1,490,251,UPDATE
768,1,491,251,UPDATE
769,1,491,251,UPDATE
770,1,489,251,UPDATE
771,1,491,251,UPDATE
772,1,490,252,UPDATE
773,1,491,252,UPDATE
774,1,492,252,UPDATE
775,1,491,251,UPDATE
776,1,491,251,UPDATE
777,1,492,251,UPDATE
778,1,492,250,UPDATE
779,1,492,251,UPDATE
780,1,492,251,UPDATE
781,1,491,251,UPDATE
782,1,492,249,UPDATE
783,1,492,252,UPDATE
784,1,491,252,UPDATE
785,1,491,252,UPDATE
786,1,491,252,UPDATE
787,1,491,252,UPDATE
788,1,491,252,UPDATE
789,1,491,254,UPDATE
790,1,490,252,UPDATE
791,1,490,251,UPDATE
792,1,490,252,UPDATE
793,1,489,252,UPDATE
794,1,489,252,UPDATE
795,1,489,252,UPDATE
796,1,488,251,UPDATE
797,1,488,251,UPDATE
798,1,488,250,UPDATE
799,1,488,248,UPDATE
800,1,488,248,UPDATE
801,1,488,247,UPDATE
802,1,487,247,UPDATE
803,1,487,246,UPDATE
804,1,486,246,UPDATE
805,1,484,247,UPDATE
806,1,482,246,UPDATE
807,1,479,246,UPDATE
808,1,479,246,UPDATE
809,1,479,246,UPDATE
