frame_number,track_id,cy,event
40,5,498,NEW
41,5,494,UPDATE
42,5,490,UPDATE
43,5,486,UPDATE
44,5,484,UPDATE
45,5,482,UPDATE
46,5,483,UPDATE
47,5,483,UPDATE
48,5,483,UPDATE
49,5,482,UPDATE
50,5,481,UPDATE
51,5,479,UPDATE
52,5,479,UPDATE
53,5,479,UPDATE
54,5,479,UPDATE
55,5,479,UPDATE
56,5,478,UPDATE
57,5,477,UPDATE
58,5,477,UPDATE
59,5,477,UPDATE
60,5,476,UPDATE
61,5,475,UPDATE
62,5,475,UPDATE
63,5,473,UPDATE
64,5,470,UPDATE
65,5,469,UPDATE
66,5,469,UPDATE
67,5,466,UPDATE
68,5,463,UPDATE
69,5,449,UPDATE
70,5,440,UPDATE
70,6,481,NEW
71,5,436,UPDATE
71,6,482,UPDATE
72,5,433,UPDATE
72,6,484,UPDATE
73,5,421,UPDATE
73,6,486,UPDATE
74,5,415,UPDATE
74,6,487,UPDATE
75,5,410,UPDATE
75,6,487,UPDATE
76,5,406,UPDATE
76,6,485,UPDATE
77,5,402,UPDATE
77,6,484,UPDATE
78,5,398,UPDATE
78,6,485,UPDATE
79,5,394,UPDATE
79,6,484,UPDATE
80,5,390,UPDATE
80,6,486,UPDATE
81,5,386,UPDATE
81,6,485,UPDATE
82,5,381,UPDATE
82,6,486,UPDATE
83,5,377,UPDATE
83,6,485,UPDATE
84,5,372,UPDATE
84,6,483,UPDATE
85,5,368,UPDATE
85,6,482,UPDATE
86,5,363,UPDATE
86,6,481,UPDATE
87,5,359,UPDATE
87,6,479,UPDATE
88,5,354,UPDATE
88,6,479,UPDATE
89,5,349,UPDATE
89,6,478,UPDATE
90,5,344,UPDATE
90,6,477,UPDATE
91,5,339,UPDATE
91,6,475,UPDATE
92,5,333,UPDATE
92,6,474,UPDATE
93,6,472,UPDATE
94,6,468,UPDATE
95,6,470,UPDATE
96,6,471,UPDATE
97,6,471,UPDATE
98,6,466,UPDATE
99,6,463,UPDATE
100,6,449,UPDATE
101,6,441,UPDATE
102,6,437,UPDATE
103,6,435,UPDATE
103,7,332,NEW
104,6,432,UPDATE
104,7,331,UPDATE
105,6,423,UPDATE
105,7,327,UPDATE
106,6,414,UPDATE
106,7,324,UPDATE
107,6,404,UPDATE
107,7,322,UPDATE
108,6,398,UPDATE
108,7,321,UPDATE
109,6,395,UPDATE
109,7,320,UPDATE
110,6,393,UPDATE
110,7,319,UPDATE
111,6,392,UPDATE
111,7,316,UPDATE
112,6,384,UPDATE
112,7,315,UPDATE
113,6,376,UPDATE
113,7,314,UPDATE
114,6,370,UPDATE
114,7,313,UPDATE
115,6,367,UPDATE
115,7,312,UPDATE
116,6,366,UPDATE
116,7,310,UPDATE
117,6,365,UPDATE
117,7,309,UPDATE
118,6,359,UPDATE
118,7,310,UPDATE
119,6,353,UPDATE
119,7,309,UPDATE
120,6,348,UPDATE
120,7,308,UPDATE
121,6,345,UPDATE
121,7,308,UPDATE
122,6,343,UPDATE
122,7,306,UPDATE
123,6,342,UPDATE
123,7,303,UPDATE
124,6,341,UPDATE
124,7,303,UPDATE
125,6,336,UPDATE
125,7,303,UPDATE
126,6,333,UPDATE
126,7,304,UPDATE
127,6,330,UPDATE
127,7,303,UPDATE
128,6,327,UPDATE
128,7,304,UPDATE
129,6,326,UPDATE
129,7,304,UPDATE
130,6,325,UPDATE
130,7,304,UPDATE
131,6,324,UPDATE
131,7,304,UPDATE
132,6,322,UPDATE
132,7,304,UPDATE
133,6,319,UPDATE
133,7,305,UPDATE
134,6,316,UPDATE
134,7,306,UPDATE
135,6,315,UPDATE
135,7,308,UPDATE
136,6,313,UPDATE
136,7,309,UPDATE
137,6,312,UPDATE
137,7,310,UPDATE
138,6,313,UPDATE
138,7,310,UPDATE
139,6,310,UPDATE
139,7,311,UPDATE
140,6,307,UPDATE
140,7,311,UPDATE
141,6,305,UPDATE
141,7,313,UPDATE
142,6,303,UPDATE
142,7,314,UPDATE
143,6,302,UPDATE
143,7,315,UPDATE
144,6,302,UPDATE
144,7,316,UPDATE
145,6,302,UPDATE
145,7,316,UPDATE
146,6,300,UPDATE
146,7,317,UPDATE
147,6,299,UPDATE
147,7,318,UPDATE
148,6,297,UPDATE
148,7,320,UPDATE
149,6,295,UPDATE
149,7,322,UPDATE
150,6,294,UPDATE
150,7,323,UPDATE
151,6,293,UPDATE
151,7,325,UPDATE
152,6,288,UPDATE
152,7,326,UPDATE
153,6,284,UPDATE
153,7,327,UPDATE
154,6,284,UPDATE
154,7,328,UPDATE
155,6,281,UPDATE
155,7,331,UPDATE
156,6,265,UPDATE
156,7,333,UPDATE
157,6,264,UPDATE
157,7,334,UPDATE
158,6,264,UPDATE
158,7,335,UPDATE
159,6,263,UPDATE
159,7,338,UPDATE
159,8,308,NEW
160,6,263,UPDATE
160,7,340,UPDATE
160,8,308,UPDATE
161,6,262,UPDATE
161,7,344,UPDATE
161,8,309,UPDATE
162,6,262,UPDATE
162,7,346,UPDATE
162,8,310,UPDATE
163,6,261,UPDATE
163,7,346,UPDATE
163,8,310,UPDATE
164,6,261,UPDATE
164,7,348,UPDATE
164,8,310,UPDATE
165,6,260,UPDATE
165,7,350,UPDATE
165,8,310,UPDATE
166,6,260,UPDATE
166,7,352,UPDATE
166,8,311,UPDATE
167,6,259,UPDATE
167,7,352,UPDATE
167,8,311,UPDATE
168,6,259,UPDATE
168,7,353,UPDATE
168,8,311,UPDATE
169,6,258,UPDATE
169,7,356,UPDATE
169,8,311,UPDATE
170,6,258,UPDATE
170,7,357,UPDATE
170,8,311,UPDATE
171,7,360,UPDATE
171,8,311,UPDATE
172,7,364,UPDATE
172,8,308,UPDATE
173,7,365,UPDATE
173,8,309,UPDATE
174,7,364,UPDATE
174,8,309,UPDATE
175,7,364,UPDATE
175,8,310,UPDATE
176,7,368,UPDATE
