frame_number,track_id,cy,event
66,8,304,NEW
67,8,298,UPDATE
68,8,296,UPDATE
69,8,296,UPDATE
70,8,295,UPDATE
71,8,295,UPDATE
72,8,289,UPDATE
73,8,273,UPDATE
74,8,263,UPDATE
75,8,258,UPDATE
76,8,253,UPDATE
77,8,251,UPDATE
78,8,248,UPDATE
79,8,247,UPDATE
80,8,239,UPDATE
81,8,227,UPDATE
82,8,221,UPDATE
83,8,219,UPDATE
84,8,218,UPDATE
85,8,215,UPDATE
86,8,214,UPDATE
87,8,209,UPDATE
88,8,202,UPDATE
89,8,199,UPDATE
90,8,196,UPDATE
91,8,193,UPDATE
92,8,188,UPDATE
93,8,189,UPDATE
94,8,188,UPDATE
94,10,376,NEW
95,8,182,UPDATE
95,10,368,UPDATE
96,8,176,UPDATE
96,10,364,UPDATE
97,8,198,UPDATE
97,10,362,UPDATE
98,8,208,UPDATE
98,10,362,UPDATE
99,8,202,UPDATE
99,10,361,UPDATE
100,8,196,UPDATE
100,10,357,UPDATE
101,8,193,UPDATE
101,10,330,UPDATE
102,8,184,UPDATE
102,10,315,UPDATE
103,8,180,UPDATE
103,10,307,UPDATE
103,11,479,NEW
104,8,175,UPDATE
104,10,302,UPDATE
104,11,480,UPDATE
105,8,170,UPDATE
105,10,295,UPDATE
105,11,482,UPDATE
106,8,165,UPDATE
106,10,279,UPDATE
106,11,486,UPDATE
107,8,160,UPDATE
107,10,271,UPDATE
107,11,489,UPDATE
108,8,155,UPDATE
108,10,267,UPDATE
108,11,490,UPDATE
109,8,150,UPDATE
109,10,264,UPDATE
109,11,489,UPDATE
110,8,144,UPDATE
110,10,260,UPDATE
110,11,479,UPDATE
111,8,138,UPDATE
111,10,253,UPDATE
111,11,466,UPDATE
112,8,131,UPDATE
112,10,240,UPDATE
112,11,440,UPDATE
113,8,124,UPDATE
113,10,233,UPDATE
113,11,427,UPDATE
114,8,116,UPDATE
114,10,225,UPDATE
114,11,421,UPDATE
115,8,106,UPDATE
115,10,215,UPDATE
115,11,413,UPDATE
116,8,93,UPDATE
116,10,206,UPDATE
116,11,407,UPDATE
117,8,92,UPDATE
117,10,196,UPDATE
117,11,404,UPDATE
118,10,186,UPDATE
118,11,379,UPDATE
119,10,176,UPDATE
119,11,369,UPDATE
120,10,165,UPDATE
120,11,361,UPDATE
121,10,152,UPDATE
121,11,355,UPDATE
122,10,139,UPDATE
122,11,350,UPDATE
123,10,123,UPDATE
123,11,348,UPDATE
124,10,103,UPDATE
124,11,346,UPDATE
125,10,99,UPDATE
125,11,315,UPDATE
126,10,95,UPDATE
126,11,300,UPDATE
127,10,92,UPDATE
127,11,291,UPDATE
128,10,88,UPDATE
128,11,285,UPDATE
129,11,282,UPDATE
130,11,280,UPDATE
131,11,272,UPDATE
132,11,268,UPDATE
133,11,252,UPDATE
134,11,243,UPDATE
135,11,238,UPDATE
136,11,235,UPDATE
137,11,232,UPDATE
137,12,113,NEW
138,11,230,UPDATE
138,12,113,UPDATE
139,11,225,UPDATE
139,12,112,UPDATE
140,11,218,UPDATE
140,12,112,UPDATE
141,11,207,UPDATE
141,12,112,UPDATE
142,11,201,UPDATE
142,12,112,UPDATE
143,11,198,UPDATE
143,12,114,UPDATE
144,11,195,UPDATE
144,12,113,UPDATE
145,11,194,UPDATE
145,12,114,UPDATE
146,11,190,UPDATE
146,12,114,UPDATE
147,11,182,UPDATE
147,12,114,UPDATE
148,11,176,UPDATE
148,12,112,UPDATE
149,11,174,UPDATE
149,12,112,UPDATE
150,11,172,UPDATE
150,12,112,UPDATE
151,11,171,UPDATE
151,12,105,UPDATE
152,11,170,UPDATE
152,12,101,UPDATE
153,11,168,UPDATE
153,12,100,UPDATE
154,11,160,UPDATE
154,12,99,UPDATE
155,11,156,UPDATE
155,12,98,UPDATE
156,11,152,UPDATE
156,12,97,UPDATE
157,11,149,UPDATE
157,12,96,UPDATE
158,11,146,UPDATE
158,12,95,UPDATE
159,11,145,UPDATE
159,12,94,UPDATE
160,11,143,UPDATE
160,12,93,UPDATE
161,11,142,UPDATE
161,12,92,UPDATE
162,11,139,UPDATE
162,12,91,UPDATE
163,11,137,UPDATE
163,12,112,UPDATE
164,11,136,UPDATE
164,12,113,UPDATE
165,11,136,UPDATE
165,12,114,UPDATE
166,11,135,UPDATE
166,12,115,UPDATE
167,11,135,UPDATE
167,12,115,UPDATE
168,11,131,UPDATE
168,12,115,UPDATE
169,11,128,UPDATE
169,12,114,UPDATE
170,11,124,UPDATE
170,12,113,UPDATE
171,11,122,UPDATE
171,12,109,UPDATE
172,11,121,UPDATE
172,12,108,UPDATE
173,11,121,UPDATE
173,12,106,UPDATE
174,11,121,UPDATE
174,12,106,UPDATE
175,11,118,UPDATE
175,12,105,UPDATE
176,11,115,UPDATE
176,12,105,UPDATE
177,11,114,UPDATE
177,12,105,UPDATE
178,11,112,UPDATE
178,12,105,UPDATE
179,11,112,UPDATE
179,12,105,UPDATE
180,11,112,UPDATE
180,12,105,UPDATE
181,11,112,UPDATE
181,12,104,UPDATE
182,11,110,UPDATE
182,12,104,UPDATE
183,11,108,UPDATE
183,12,104,UPDATE
184,11,108,UPDATE
184,12,103,UPDATE
185,11,107,UPDATE
185,12,103,UPDATE
186,11,105,UPDATE
186,12,103,UPDATE
187,11,104,UPDATE
187,12,102,UPDATE
188,11,104,UPDATE
188,12,102,UPDATE
189,11,104,UPDATE
189,12,102,UPDATE
190,11,104,UPDATE
190,12,105,UPDATE
191,11,104,UPDATE
191,12,105,UPDATE
192,11,96,UPDATE
192,12,104,UPDATE
193,11,88,UPDATE
193,12,104,UPDATE
194,11,76,UPDATE
194,12,104,UPDATE
195,11,76,UPDATE
195,12,104,UPDATE
196,11,75,UPDATE
196,12,104,UPDATE
197,11,75,UPDATE
197,12,103,UPDATE
197,13,112,NEW
198,11,75,UPDATE
198,12,103,UPDATE
198,13,112,UPDATE
199,11,74,UPDATE
199,12,103,UPDATE
199,13,111,UPDATE
200,11,74,UPDATE
200,12,103,UPDATE
200,13,110,UPDATE
201,11,73,UPDATE
201,12,103,UPDATE
201,13,110,UPDATE
202,11,73,UPDATE
202,12,103,UPDATE
202,13,111,UPDATE
203,11,72,UPDATE
203,12,102,UPDATE
203,13,111,UPDATE
204,11,72,UPDATE
204,12,102,UPDATE
204,13,111,UPDATE
205,11,71,UPDATE
205,12,102,UPDATE
205,13,111,UPDATE
206,11,71,UPDATE
206,13,112,UPDATE
207,13,112,UPDATE
208,13,112,UPDATE
209,13,112,UPDATE
210,13,112,UPDATE
211,13,112,UPDATE
212,13,111,UPDATE
213,13,112,UPDATE
214,13,112,UPDATE
215,13,112,UPDATE
216,13,112,UPDATE
217,13,112,UPDATE
218,13,112,UPDATE
219,13,110,UPDATE
220,13,108,UPDATE
221,13,108,UPDATE
222,13,108,UPDATE
223,13,108,UPDATE
224,13,107,UPDATE
225,13,107,UPDATE
226,13,106,UPDATE
227,13,106,UPDATE
228,13,105,UPDATE
229,13,105,UPDATE
230,13,109,UPDATE
231,13,110,UPDATE
232,13,110,UPDATE
233,13,110,UPDATE
234,13,111,UPDATE
235,13,112,UPDATE
236,13,112,UPDATE
237,13,113,UPDATE
238,13,113,UPDATE
239,13,113,UPDATE
240,13,112,UPDATE
241,13,112,UPDATE
242,13,111,UPDATE
243,13,111,UPDATE
244,13,111,UPDATE
245,13,111,UPDATE
246,13,111,UPDATE
247,13,111,UPDATE
248,13,111,UPDATE
249,13,109,UPDATE
250,13,110,UPDATE
251,13,110,UPDATE
252,13,110,UPDATE
253,13,110,UPDATE
254,13,110,UPDATE
255,13,109,UPDATE
256,13,113,UPDATE
257,13,113,UPDATE
257,14,118,NEW
258,13,114,UPDATE
258,14,119,UPDATE
259,13,115,UPDATE
259,14,121,UPDATE
260,13,115,UPDATE
260,14,122,UPDATE
261,13,115,UPDATE
261,14,123,UPDATE
262,13,115,UPDATE
262,14,124,UPDATE
263,13,115,UPDATE
263,14,124,UPDATE
264,13,115,UPDATE
264,14,125,UPDATE
265,13,115,UPDATE
265,14,126,UPDATE
266,13,115,UPDATE
266,14,126,UPDATE
267,13,115,UPDATE
267,14,127,UPDATE
268,13,115,UPDATE
268,14,128,UPDATE
269,13,115,UPDATE
269,14,128,UPDATE
270,13,115,UPDATE
270,14,129,UPDATE
271,13,115,UPDATE
271,14,129,UPDATE
272,13,115,UPDATE
272,14,129,UPDATE
273,13,115,UPDATE
274,13,115,UPDATE
281,15,144,NEW
282,15,147,UPDATE
283,15,145,UPDATE
284,15,145,UPDATE
285,15,150,UPDATE
286,15,155,UPDATE
287,15,157,UPDATE
288,15,158,UPDATE
289,15,162,UPDATE
290,15,165,UPDATE
291,15,166,UPDATE
292,15,170,UPDATE
293,15,177,UPDATE
294,15,180,UPDATE
295,15,182,UPDATE
296,15,180,UPDATE
297,15,192,UPDATE
298,15,193,UPDATE
299,15,194,UPDATE
300,15,196,UPDATE
301,15,196,UPDATE
302,15,203,UPDATE
303,15,206,UPDATE
304,15,215,UPDATE
305,15,222,UPDATE
306,15,226,UPDATE
307,15,229,UPDATE
308,15,232,UPDATE
309,15,234,UPDATE
310,15,235,UPDATE
311,15,244,UPDATE
312,15,246,UPDATE
312,16,207,NEW
313,15,257,UPDATE
313,16,210,UPDATE
314,15,261,UPDATE
314,16,218,UPDATE
315,15,263,UPDATE
315,16,221,UPDATE
316,15,287,UPDATE
316,16,226,UPDATE
317,15,299,UPDATE
317,16,216,UPDATE
318,15,306,UPDATE
318,16,221,UPDATE
319,15,310,UPDATE
319,16,228,UPDATE
320,15,324,UPDATE
320,16,233,UPDATE
321,15,342,UPDATE
321,16,243,UPDATE
322,15,350,UPDATE
322,16,255,UPDATE
323,15,356,UPDATE
323,16,261,UPDATE
324,15,359,UPDATE
324,16,264,UPDATE
325,15,364,UPDATE
325,16,266,UPDATE
326,15,369,UPDATE
326,16,271,UPDATE
327,15,365,UPDATE
327,16,289,UPDATE
328,15,370,UPDATE
328,16,303,UPDATE
328,17,165,NEW
329,15,382,UPDATE
329,16,312,UPDATE
329,17,165,UPDATE
330,15,387,UPDATE
330,16,316,UPDATE
330,17,168,UPDATE
331,15,392,UPDATE
331,16,319,UPDATE
331,17,172,UPDATE
332,15,396,UPDATE
332,16,322,UPDATE
332,17,176,UPDATE
333,15,401,UPDATE
333,16,339,UPDATE
333,17,182,UPDATE
334,15,406,UPDATE
334,16,356,UPDATE
334,17,184,UPDATE
335,15,411,UPDATE
335,16,369,UPDATE
335,17,185,UPDATE
336,15,416,UPDATE
336,16,376,UPDATE
336,17,186,UPDATE
337,15,421,UPDATE
337,16,381,UPDATE
337,17,189,UPDATE
338,15,425,UPDATE
338,16,386,UPDATE
338,17,198,UPDATE
339,15,430,UPDATE
339,16,398,UPDATE
339,17,205,UPDATE
340,15,435,UPDATE
340,16,402,UPDATE
340,17,208,UPDATE
341,15,440,UPDATE
341,16,405,UPDATE
341,17,209,UPDATE
342,15,445,UPDATE
342,16,409,UPDATE
342,17,207,UPDATE
343,15,449,UPDATE
343,16,414,UPDATE
343,17,209,UPDATE
344,15,454,UPDATE
344,16,416,UPDATE
344,17,209,UPDATE
345,16,421,UPDATE
345,17,215,UPDATE
346,16,437,UPDATE
346,17,225,UPDATE
347,16,458,UPDATE
347,17,231,UPDATE
348,16,470,UPDATE
348,17,233,UPDATE
349,16,477,UPDATE
349,17,235,UPDATE
350,16,480,UPDATE
350,17,236,UPDATE
351,16,486,UPDATE
351,17,244,UPDATE
352,16,483,UPDATE
352,17,257,UPDATE
353,16,483,UPDATE
353,17,263,UPDATE
354,16,484,UPDATE
354,17,272,UPDATE
355,16,485,UPDATE
355,17,277,UPDATE
356,16,484,UPDATE
356,17,281,UPDATE
357,16,489,UPDATE
357,17,285,UPDATE
358,16,493,UPDATE
358,17,289,UPDATE
359,16,487,UPDATE
359,17,293,UPDATE
360,16,485,UPDATE
360,17,318,UPDATE
361,16,483,UPDATE
361,17,325,UPDATE
362,16,482,UPDATE
362,17,330,UPDATE
363,16,481,UPDATE
363,17,330,UPDATE
