frame_number,track_id,cy,event
43,0,491,NEW
44,0,489,UPDATE
45,0,487,UPDATE
46,0,485,UPDATE
47,0,484,UPDATE
48,0,484,UPDATE
49,0,484,UPDATE
50,0,483,UPDATE
51,0,483,UPDATE
52,0,483,UPDATE
53,0,481,UPDATE
54,0,480,UPDATE
55,0,480,UPDATE
56,0,479,UPDATE
57,0,479,UPDATE
58,0,479,UPDATE
59,0,479,UPDATE
60,0,479,UPDATE
61,0,479,UPDATE
62,0,478,UPDATE
63,0,478,UPDATE
64,0,477,UPDATE
65,0,477,UPDATE
66,0,478,UPDATE
67,0,478,UPDATE
68,0,478,UPDATE
69,0,478,UPDATE
70,0,478,UPDATE
71,0,477,UPDATE
72,0,476,UPDATE
73,0,476,UPDATE
73,1,495,NEW
74,0,476,UPDATE
74,1,495,UPDATE
75,0,476,UPDATE
75,1,492,UPDATE
76,0,477,UPDATE
76,1,489,UPDATE
77,0,476,UPDATE
77,1,486,UPDATE
78,0,477,UPDATE
78,1,485,UPDATE
79,0,477,UPDATE
79,1,484,UPDATE
80,0,471,UPDATE
80,1,485,UPDATE
81,0,463,UPDATE
81,1,483,UPDATE
82,0,457,UPDATE
82,1,483,UPDATE
83,0,455,UPDATE
83,1,482,UPDATE
84,0,453,UPDATE
84,1,482,UPDATE
85,0,454,UPDATE
85,1,481,UPDATE
86,0,454,UPDATE
86,1,485,UPDATE
87,0,452,UPDATE
87,1,485,UPDATE
88,0,450,UPDATE
88,1,485,UPDATE
89,0,449,UPDATE
89,1,484,UPDATE
90,0,447,UPDATE
90,1,482,UPDATE
91,0,445,UPDATE
91,1,481,UPDATE
92,0,443,UPDATE
92,1,481,UPDATE
93,0,441,UPDATE
93,1,480,UPDATE
94,0,439,UPDATE
94,1,480,UPDATE
95,0,437,UPDATE
95,1,481,UPDATE
96,0,436,UPDATE
96,1,481,UPDATE
97,0,434,UPDATE
97,1,480,UPDATE
98,0,432,UPDATE
98,1,479,UPDATE
99,0,430,UPDATE
99,1,478,UPDATE
100,0,428,UPDATE
100,1,476,UPDATE
101,0,426,UPDATE
101,1,476,UPDATE
102,1,476,UPDATE
103,1,475,UPDATE
104,1,476,UPDATE
105,1,474,UPDATE
106,1,473,UPDATE
107,1,472,UPDATE
108,1,469,UPDATE
109,1,465,UPDATE
110,1,461,UPDATE
111,1,459,UPDATE
112,1,458,UPDATE
113,1,457,UPDATE
114,1,456,UPDATE
115,1,454,UPDATE
116,1,439,UPDATE
117,1,429,UPDATE
118,1,423,UPDATE
119,1,420,UPDATE
120,1,418,UPDATE
121,1,417,UPDATE
122,1,417,UPDATE
123,1,416,UPDATE
124,1,414,UPDATE
125,1,407,UPDATE
126,1,399,UPDATE
127,1,392,UPDATE
128,1,388,UPDATE
129,1,385,UPDATE
130,1,384,UPDATE
131,1,382,UPDATE
132,1,381,UPDATE
133,1,380,UPDATE
134,1,379,UPDATE
134,3,331,NEW
135,1,372,UPDATE
135,3,327,UPDATE
136,1,366,UPDATE
136,3,323,UPDATE
137,1,360,UPDATE
137,3,321,UPDATE
138,1,359,UPDATE
138,3,322,UPDATE
139,1,357,UPDATE
139,3,323,UPDATE
140,1,357,UPDATE
140,3,323,UPDATE
141,1,358,UPDATE
141,3,321,UPDATE
142,1,357,UPDATE
142,3,321,UPDATE
143,1,353,UPDATE
143,3,320,UPDATE
144,1,349,UPDATE
144,3,320,UPDATE
145,1,346,UPDATE
145,3,319,UPDATE
146,1,343,UPDATE
146,3,318,UPDATE
147,1,341,UPDATE
147,3,316,UPDATE
148,1,340,UPDATE
148,3,314,UPDATE
149,1,337,UPDATE
149,3,313,UPDATE
150,1,336,UPDATE
150,3,312,UPDATE
151,1,333,UPDATE
151,3,312,UPDATE
152,1,331,UPDATE
152,3,311,UPDATE
153,1,330,UPDATE
153,3,311,UPDATE
154,1,326,UPDATE
154,3,311,UPDATE
155,1,325,UPDATE
155,3,309,UPDATE
156,1,325,UPDATE
156,3,308,UPDATE
157,1,325,UPDATE
157,3,307,UPDATE
158,1,324,UPDATE
158,3,307,UPDATE
159,1,323,UPDATE
159,3,306,UPDATE
160,1,321,UPDATE
160,3,307,UPDATE
161,1,318,UPDATE
161,3,307,UPDATE
162,1,316,UPDATE
162,3,307,UPDATE
163,1,314,UPDATE
163,3,307,UPDATE
164,1,312,UPDATE
164,3,307,UPDATE
165,1,312,UPDATE
165,3,307,UPDATE
166,1,311,UPDATE
166,3,307,UPDATE
167,1,310,UPDATE
167,3,307,UPDATE
168,1,310,UPDATE
168,3,307,UPDATE
169,1,309,UPDATE
169,3,307,UPDATE
170,1,306,UPDATE
170,3,307,UPDATE
171,1,304,UPDATE
171,3,307,UPDATE
172,1,303,UPDATE
172,3,307,UPDATE
173,1,302,UPDATE
173,3,308,UPDATE
174,1,301,UPDATE
174,3,307,UPDATE
175,1,300,UPDATE
175,3,307,UPDATE
176,1,301,UPDATE
176,3,307,UPDATE
177,1,300,UPDATE
177,3,307,UPDATE
178,1,299,UPDATE
178,3,307,UPDATE
179,1,297,UPDATE
179,3,307,UPDATE
180,1,297,UPDATE
180,3,308,UPDATE
181,1,295,UPDATE
181,3,308,UPDATE
182,1,293,UPDATE
182,3,308,UPDATE
183,1,291,UPDATE
183,3,308,UPDATE
184,1,291,UPDATE
184,3,308,UPDATE
185,1,291,UPDATE
185,3,308,UPDATE
186,1,291,UPDATE
186,3,308,UPDATE
187,1,290,UPDATE
187,3,308,UPDATE
188,1,290,UPDATE
188,3,310,UPDATE
189,1,289,UPDATE
189,3,311,UPDATE
190,1,289,UPDATE
190,3,311,UPDATE
191,1,289,UPDATE
191,3,313,UPDATE
192,1,288,UPDATE
192,3,313,UPDATE
193,1,288,UPDATE
193,3,314,UPDATE
194,1,288,UPDATE
194,3,315,UPDATE
195,1,287,UPDATE
195,3,315,UPDATE
196,1,287,UPDATE
196,3,316,UPDATE
197,1,288,UPDATE
197,3,318,UPDATE
198,1,289,UPDATE
198,3,319,UPDATE
199,1,290,UPDATE
199,3,321,UPDATE
200,1,280,UPDATE
200,3,321,UPDATE
201,1,267,UPDATE
201,3,321,UPDATE
202,1,267,UPDATE
202,3,322,UPDATE
203,1,267,UPDATE
203,3,322,UPDATE
204,1,267,UPDATE
204,3,324,UPDATE
205,1,267,UPDATE
205,3,326,UPDATE
206,1,267,UPDATE
206,3,327,UPDATE
207,1,267,UPDATE
207,3,328,UPDATE
208,1,267,UPDATE
208,3,329,UPDATE
209,1,267,UPDATE
209,3,330,UPDATE
210,1,268,UPDATE
210,3,330,UPDATE
211,1,268,UPDATE
211,3,330,UPDATE
211,4,238,NEW
212,1,268,UPDATE
212,3,330,UPDATE
212,4,237,UPDATE
213,1,268,UPDATE
213,3,332,UPDATE
213,4,239,UPDATE
214,1,268,UPDATE
214,3,334,UPDATE
214,4,240,UPDATE
215,3,335,UPDATE
215,4,240,UPDATE
216,3,336,UPDATE
216,4,241,UPDATE
217,3,338,UPDATE
217,4,242,UPDATE
218,3,339,UPDATE
218,4,243,UPDATE
219,3,340,UPDATE
219,4,244,UPDATE
220,3,341,UPDATE
220,4,245,UPDATE
221,3,342,UPDATE
221,4,246,UPDATE
222,3,343,UPDATE
222,4,247,UPDATE
223,3,346,UPDATE
223,4,247,UPDATE
224,3,349,UPDATE
224,4,248,UPDATE
225,3,351,UPDATE
225,4,247,UPDATE
226,3,351,UPDATE
226,4,246,UPDATE
227,3,350,UPDATE
227,4,246,UPDATE
228,3,351,UPDATE
228,4,246,UPDATE
229,3,355,UPDATE
229,4,247,UPDATE
230,3,356,UPDATE
230,4,247,UPDATE
231,3,360,UPDATE
231,4,246,UPDATE
232,3,361,UPDATE
232,4,246,UPDATE
233,3,363,UPDATE
233,4,246,UPDATE
234,3,365,UPDATE
234,4,246,UPDATE
235,3,363,UPDATE
235,4,246,UPDATE
236,3,365,UPDATE
236,4,281,UPDATE
237,3,366,UPDATE
237,4,292,UPDATE
238,3,367,UPDATE
238,4,296,UPDATE
239,3,370,UPDATE
239,4,301,UPDATE
240,3,373,UPDATE
240,4,305,UPDATE
241,3,376,UPDATE
241,4,307,UPDATE
242,3,379,UPDATE
242,4,307,UPDATE
243,3,382,UPDATE
243,4,309,UPDATE
244,3,382,UPDATE
244,4,309,UPDATE
245,3,382,UPDATE
245,4,310,UPDATE
246,3,386,UPDATE
246,4,311,UPDATE
247,3,389,UPDATE
247,4,312,UPDATE
248,3,391,UPDATE
248,4,313,UPDATE
249,3,392,UPDATE
249,4,313,UPDATE
250,3,393,UPDATE
250,4,314,UPDATE
251,3,392,UPDATE
251,4,316,UPDATE
252,3,399,UPDATE
252,4,319,UPDATE
253,3,401,UPDATE
