frame_number,track_id,cy,event
53,0,513,NEW
54,0,515,UPDATE
55,0,514,UPDATE
56,0,515,UPDATE
57,0,515,UPDATE
58,0,513,UPDATE
59,0,510,UPDATE
59,1,477,NEW
60,0,507,UPDATE
60,1,477,UPDATE
61,0,504,UPDATE
61,1,477,UPDATE
62,0,504,UPDATE
62,1,477,UPDATE
62,2,480,NEW
62,3,504,NEW
63,0,501,UPDATE
63,1,477,UPDATE
63,2,480,UPDATE
63,3,505,UPDATE
64,0,499,UPDATE
64,1,476,UPDATE
64,2,481,UPDATE
64,3,505,UPDATE
65,0,498,UPDATE
65,1,476,UPDATE
65,2,482,UPDATE
65,3,505,UPDATE
66,0,496,UPDATE
66,1,476,UPDATE
66,2,482,UPDATE
66,3,503,UPDATE
67,0,493,UPDATE
67,1,474,UPDATE
67,2,408,UPDATE
67,3,503,UPDATE
68,0,492,UPDATE
68,1,474,UPDATE
68,2,447,UPDATE
68,3,501,UPDATE
69,0,490,UPDATE
69,1,474,UPDATE
69,2,464,UPDATE
69,3,499,UPDATE
70,0,489,UPDATE
70,1,473,UPDATE
70,2,472,UPDATE
70,3,497,UPDATE
71,0,489,UPDATE
71,1,474,UPDATE
71,2,476,UPDATE
71,3,496,UPDATE
72,0,489,UPDATE
72,1,474,UPDATE
72,2,477,UPDATE
72,3,494,UPDATE
73,0,488,UPDATE
73,1,473,UPDATE
73,2,478,UPDATE
73,3,492,UPDATE
74,0,487,UPDATE
74,1,472,UPDATE
74,2,479,UPDATE
74,3,491,UPDATE
75,0,486,UPDATE
75,1,471,UPDATE
75,2,480,UPDATE
75,3,489,UPDATE
76,0,484,UPDATE
76,1,470,UPDATE
76,2,480,UPDATE
76,3,488,UPDATE
77,0,484,UPDATE
77,1,470,UPDATE
77,2,480,UPDATE
77,3,488,UPDATE
78,0,483,UPDATE
78,1,470,UPDATE
78,2,481,UPDATE
78,3,487,UPDATE
79,0,483,UPDATE
79,1,471,UPDATE
79,2,481,UPDATE
79,3,487,UPDATE
80,0,482,UPDATE
80,1,471,UPDATE
80,2,481,UPDATE
80,3,487,UPDATE
81,0,482,UPDATE
81,1,470,UPDATE
81,2,481,UPDATE
81,3,487,UPDATE
82,0,481,UPDATE
82,1,470,UPDATE
82,2,479,UPDATE
82,3,487,UPDATE
83,0,480,UPDATE
83,1,469,UPDATE
83,2,479,UPDATE
83,3,486,UPDATE
84,0,479,UPDATE
84,1,468,UPDATE
84,2,478,UPDATE
84,3,486,UPDATE
85,0,480,UPDATE
85,1,468,UPDATE
85,2,479,UPDATE
85,3,485,UPDATE
86,0,479,UPDATE
86,1,467,UPDATE
86,2,479,UPDATE
86,3,484,UPDATE
87,0,479,UPDATE
87,1,467,UPDATE
87,2,479,UPDATE
87,3,482,UPDATE
88,0,479,UPDATE
88,1,465,UPDATE
88,2,479,UPDATE
88,3,482,UPDATE
89,0,480,UPDATE
89,1,464,UPDATE
89,2,479,UPDATE
89,3,482,UPDATE
90,0,480,UPDATE
90,1,463,UPDATE
90,2,479,UPDATE
90,3,482,UPDATE
91,0,479,UPDATE
91,1,457,UPDATE
91,2,479,UPDATE
91,3,482,UPDATE
92,0,479,UPDATE
92,1,450,UPDATE
92,2,478,UPDATE
92,3,482,UPDATE
93,0,478,UPDATE
93,1,443,UPDATE
93,2,472,UPDATE
93,3,482,UPDATE
94,0,478,UPDATE
94,1,435,UPDATE
94,2,467,UPDATE
94,3,482,UPDATE
95,0,477,UPDATE
95,1,426,UPDATE
95,2,466,UPDATE
95,3,482,UPDATE
96,0,477,UPDATE
96,1,415,UPDATE
96,2,471,UPDATE
96,3,483,UPDATE
97,0,477,UPDATE
97,1,403,UPDATE
97,2,474,UPDATE
97,3,483,UPDATE
98,0,476,UPDATE
98,1,387,UPDATE
98,2,475,UPDATE
98,3,483,UPDATE
99,0,476,UPDATE
99,1,362,UPDATE
99,2,476,UPDATE
99,3,484,UPDATE
100,0,475,UPDATE
100,1,363,UPDATE
100,2,476,UPDATE
100,3,483,UPDATE
101,0,474,UPDATE
