frame_number,track_id,cx,cy,event
43,0,54,486,NEW
44,0,55,488,UPDATE
45,0,55,486,UPDATE
46,0,54,488,UPDATE
47,0,55,486,UPDATE
48,0,58,477,UPDATE
49,0,61,477,UPDATE
50,0,63,479,UPDATE
50,1,499,485,NEW
51,0,63,481,UPDATE
51,1,466,486,UPDATE
52,0,66,488,UPDATE
52,1,435,488,UPDATE
53,0,69,490,UPDATE
53,1,420,487,UPDATE
54,0,72,491,UPDATE
54,1,412,486,UPDATE
55,0,80,493,UPDATE
55,1,403,485,UPDATE
56,0,84,493,UPDATE
56,1,398,483,UPDATE
57,0,88,492,UPDATE
57,1,395,480,UPDATE
58,0,93,492,UPDATE
58,1,390,477,UPDATE
59,0,96,491,UPDATE
59,1,388,474,UPDATE
60,0,97,490,UPDATE
60,1,387,472,UPDATE
61,0,99,492,UPDATE
61,1,381,472,UPDATE
62,0,100,491,UPDATE
62,1,377,471,UPDATE
63,0,106,492,UPDATE
63,1,368,472,UPDATE
64,0,110,491,UPDATE
64,1,363,471,UPDATE
65,0,113,489,UPDATE
65,1,359,469,UPDATE
66,0,115,488,UPDATE
66,1,356,469,UPDATE
67,0,119,487,UPDATE
67,1,346,469,UPDATE
68,0,123,486,UPDATE
68,1,340,468,UPDATE
69,0,128,487,UPDATE
69,1,329,469,UPDATE
70,0,130,486,UPDATE
70,1,323,470,UPDATE
71,0,132,485,UPDATE
71,1,319,470,UPDATE
72,0,135,484,UPDATE
72,1,317,471,UPDATE
73,0,141,484,UPDATE
73,1,314,472,UPDATE
74,0,145,483,UPDATE
74,1,312,472,UPDATE
75,0,149,483,UPDATE
75,1,311,470,UPDATE
76,0,151,482,UPDATE
76,1,310,466,UPDATE
77,0,152,481,UPDATE
77,1,310,467,UPDATE
78,0,155,482,UPDATE
78,1,311,468,UPDATE
79,0,157,481,UPDATE
79,1,311,468,UPDATE
80,0,158,481,UPDATE
80,1,311,467,UPDATE
81,0,158,481,UPDATE
81,1,310,467,UPDATE
82,0,159,480,UPDATE
82,1,309,459,UPDATE
83,0,160,479,UPDATE
83,1,308,461,UPDATE
83,CROSSING,308,461,IN #1 by ID 1 [first crossing for this ID]
84,0,162,479,UPDATE
84,1,301,462,UPDATE
85,0,162,479,UPDATE
85,1,297,462,UPDATE
86,0,165,479,UPDATE
86,1,292,460,UPDATE
87,0,166,479,UPDATE
87,1,288,459,UPDATE
88,0,167,479,UPDATE
88,1,286,458,UPDATE
89,0,167,475,UPDATE
89,1,284,457,UPDATE
90,0,173,476,UPDATE
90,1,282,456,UPDATE
91,0,175,474,UPDATE
91,1,281,459,UPDATE
92,0,178,469,UPDATE
92,1,282,459,UPDATE
93,0,180,467,UPDATE
93,1,283,459,UPDATE
94,0,181,465,UPDATE
94,1,283,456,UPDATE
95,0,183,464,UPDATE
95,1,286,450,UPDATE
96,0,184,462,UPDATE
96,1,287,446,UPDATE
97,0,185,463,UPDATE
97,1,287,444,UPDATE
98,0,186,462,UPDATE
98,1,288,442,UPDATE
99,0,186,460,UPDATE
99,1,288,441,UPDATE
100,0,187,453,UPDATE
100,1,287,438,UPDATE
101,0,188,449,UPDATE
101,1,285,436,UPDATE
102,0,187,447,UPDATE
102,1,282,432,UPDATE
103,0,189,444,UPDATE
103,1,280,428,UPDATE
104,0,190,442,UPDATE
104,1,279,425,UPDATE
105,0,192,441,UPDATE
105,1,278,422,UPDATE
106,0,194,440,UPDATE
106,1,277,420,UPDATE
107,0,196,440,UPDATE
107,1,277,419,UPDATE
108,0,198,439,UPDATE
108,1,277,417,UPDATE
109,0,201,434,UPDATE
109,1,277,418,UPDATE
110,0,203,432,UPDATE
110,1,277,418,UPDATE
111,0,208,430,UPDATE
111,1,278,418,UPDATE
112,0,211,429,UPDATE
112,1,278,417,UPDATE
113,0,213,428,UPDATE
113,1,280,416,UPDATE
114,0,215,426,UPDATE
114,1,281,414,UPDATE
115,0,215,426,UPDATE
115,1,283,411,UPDATE
116,0,213,426,UPDATE
116,1,284,410,UPDATE
117,0,208,425,UPDATE
117,1,286,410,UPDATE
118,0,206,424,UPDATE
118,1,287,409,UPDATE
119,0,205,424,UPDATE
119,1,288,407,UPDATE
120,0,202,425,UPDATE
120,1,288,404,UPDATE
121,0,201,424,UPDATE
121,1,288,403,UPDATE
